,x,y,t,PM10,SO2,NO2,O3,CO,z,dataset
1,116.2202,40.2915,0,50.0,1.0,16.0,35.0,0.4,35.0,train
2,116.4174,39.9289,0,110.0,3.0,52.0,9.0,0.8,91.0,train
4,116.462,39.9365,0,101.0,3.0,43.0,4.0,1.0,94.0,train
5,116.3392,39.9295,0,92.0,3.0,42.0,12.0,0.9,94.0,train
7,116.6636,40.135,0,97.0,4.0,48.0,8.0,0.7,48.0,train
8,116.6275,40.3275,0,58.0,1.0,18.0,35.0,0.6,42.0,train
9,116.2296,40.217,0,42.0,3.0,18.0,45.0,0.5,34.0,train
10,116.3966,39.9821,0,94.0,1.0,65.0,14.0,0.9,98.0,train
12,115.9718,40.4529,0,27.0,3.0,7.0,47.0,0.3,12.0,train
13,117.0709,40.1465,0,48.0,1.0,23.0,7.0,0.7,35.0,train
14,116.8336,40.4095,0,55.0,3.0,27.0,25.0,0.4,28.0,train
15,116.088,39.9726,0,184.0,1.0,53.0,1.0,0.9,92.0,test
16,116.1541,39.8204,0,114.0,3.0,42.0,21.0,0.9,101.0,train
18,115.9577,39.7603,0,104.0,1.0,32.0,33.0,0.9,97.0,train
19,116.4672,39.7733,0,73.0,3.0,25.0,4.0,0.7,69.0,test
20,115.986,40.4563,0,30.0,2.0,16.0,39.0,0.4,14.0,train
21,116.6151,40.3053,0,52.0,1.0,26.0,26.0,0.6,37.0,test
23,116.84,40.3844,0,62.0,5.0,43.0,11.0,0.6,38.0,train
25,116.2202,40.2915,1,44.0,1.0,16.0,37.0,0.4,32.0,train
26,116.4174,39.9289,1,119.0,3.0,55.0,5.0,0.8,96.0,train
29,116.3392,39.9295,1,100.0,4.0,56.0,2.0,0.9,94.0,test
31,116.6636,40.135,1,82.0,5.0,56.0,4.0,0.7,54.0,train
32,116.6275,40.3275,1,53.0,1.0,20.0,31.0,0.6,42.0,test
33,116.2296,40.217,1,46.0,3.0,17.0,43.0,0.5,36.0,train
34,116.3966,39.9821,1,106.0,1.0,67.0,10.0,0.9,100.0,train
36,115.9718,40.4529,1,29.0,3.0,13.0,36.0,0.3,15.0,train
37,117.0709,40.1465,1,45.0,3.0,20.0,8.0,0.7,36.0,train
38,116.8336,40.4095,1,67.0,3.0,40.0,14.0,0.5,38.0,train
39,116.088,39.9726,1,145.0,1.0,46.0,1.0,0.8,81.0,train
40,116.1541,39.8204,1,119.0,3.0,60.0,2.0,1.0,101.0,train
42,115.9577,39.7603,1,91.0,1.0,30.0,23.0,0.9,98.0,train
43,116.4672,39.7733,1,79.0,3.0,32.0,2.0,0.8,70.0,test
44,115.986,40.4563,1,30.0,2.0,36.0,11.0,0.4,16.0,train
45,116.6151,40.3053,1,57.0,1.0,20.0,27.0,0.6,38.0,train
49,116.2202,40.2915,2,51.0,1.0,17.0,34.0,0.4,42.0,train
50,116.4174,39.9289,2,112.0,3.0,58.0,2.0,0.8,95.0,train
55,116.6636,40.135,2,93.0,3.0,54.0,5.0,0.8,63.0,train
56,116.6275,40.3275,2,54.0,1.0,22.0,26.0,0.6,43.0,train
57,116.2296,40.217,2,52.0,3.0,47.0,9.0,0.6,41.0,train
58,116.3966,39.9821,2,108.0,1.0,63.0,12.0,0.9,112.0,train
60,115.9718,40.4529,2,25.0,3.0,10.0,37.0,0.3,13.0,test
61,117.0709,40.1465,2,40.0,3.0,16.0,8.0,0.6,35.0,train
62,116.8336,40.4095,2,67.0,3.0,30.0,18.0,0.5,38.0,train
63,116.088,39.9726,2,121.0,1.0,43.0,1.0,0.7,66.0,train
64,116.1541,39.8204,2,112.0,3.0,55.0,2.0,1.0,103.0,train
66,115.9577,39.7603,2,87.0,1.0,27.0,25.0,0.7,84.0,train
67,116.4672,39.7733,2,98.0,1.0,49.0,2.0,0.9,79.0,train
68,115.986,40.4563,2,29.0,3.0,30.0,17.0,0.4,17.0,train
69,116.6151,40.3053,2,62.0,1.0,33.0,14.0,0.6,47.0,train
72,116.3621,39.8784,3,82.0,3.0,57.0,7.0,1.0,78.0,train
73,116.2202,40.2915,3,45.0,1.0,15.0,27.0,0.4,41.0,test
74,116.4174,39.9289,3,104.0,3.0,56.0,2.0,0.8,90.0,train
76,116.462,39.9365,3,94.0,1.0,44.0,1.0,0.9,91.0,train
77,116.3392,39.9295,3,94.0,5.0,49.0,5.0,0.9,88.0,train
79,116.6636,40.135,3,103.0,2.0,56.0,2.0,0.8,70.0,test
80,116.6275,40.3275,3,58.0,1.0,22.0,20.0,0.6,42.0,train
81,116.2296,40.217,3,58.0,3.0,32.0,25.0,0.6,53.0,train
82,116.3966,39.9821,3,105.0,1.0,63.0,11.0,0.8,108.0,train
84,115.9718,40.4529,3,23.0,3.0,7.0,37.0,0.3,15.0,train
85,117.0709,40.1465,3,33.0,3.0,18.0,7.0,0.6,34.0,test
86,116.8336,40.4095,3,69.0,3.0,38.0,6.0,0.5,39.0,test
87,116.088,39.9726,3,89.0,3.0,40.0,2.0,0.6,58.0,train
88,116.1541,39.8204,3,100.0,3.0,49.0,2.0,0.9,104.0,train
90,115.9577,39.7603,3,99.0,1.0,20.0,26.0,0.6,63.0,train
91,116.4672,39.7733,3,88.0,3.0,46.0,2.0,0.9,75.0,train
92,115.986,40.4563,3,22.0,2.0,16.0,32.0,0.4,15.0,test
93,116.6151,40.3053,3,71.0,1.0,26.0,15.0,0.6,44.0,test
96,116.3621,39.8784,4,71.0,4.0,61.0,1.0,1.0,79.0,train
97,116.2202,40.2915,4,43.0,1.0,16.0,24.0,0.4,44.0,train
98,116.4174,39.9289,4,84.0,3.0,52.0,3.0,0.8,81.0,train
101,116.3392,39.9295,4,82.0,4.0,47.0,2.0,0.9,87.0,test
102,116.2878,39.9611,4,90.0,1.0,52.0,1.0,0.8,87.0,train
103,116.6636,40.135,4,90.0,2.0,54.0,4.0,0.8,64.0,train
104,116.6275,40.3275,4,66.0,1.0,43.0,6.0,0.7,56.0,train
106,116.3966,39.9821,4,80.0,1.0,55.0,16.0,0.8,92.0,train
108,115.9718,40.4529,4,21.0,3.0,5.0,39.0,0.2,15.0,train
109,117.0709,40.1465,4,32.0,3.0,15.0,6.0,0.6,32.0,train
110,116.8336,40.4095,4,64.0,2.0,36.0,11.0,0.6,49.0,test
111,116.088,39.9726,4,77.0,3.0,40.0,2.0,0.5,51.0,train
114,115.9577,39.7603,4,53.0,1.0,23.0,20.0,0.6,73.0,train
115,116.4672,39.7733,4,72.0,1.0,38.0,2.0,0.8,69.0,train
116,115.986,40.4563,4,21.0,2.0,13.0,34.0,0.4,15.0,train
117,116.6151,40.3053,4,55.0,1.0,29.0,12.0,0.7,50.0,train
119,116.84,40.3844,4,72.0,7.0,45.0,6.0,0.7,54.0,train
121,116.2202,40.2915,5,52.0,1.0,16.0,25.0,0.5,52.0,train
122,116.4174,39.9289,5,97.0,1.0,55.0,1.0,0.8,81.0,train
124,116.462,39.9365,5,69.0,1.0,37.0,1.0,0.9,67.0,train
127,116.6636,40.135,5,32.0,3.0,32.0,20.0,0.9,38.0,train
128,116.6275,40.3275,5,81.0,2.0,48.0,2.0,0.8,52.0,train
129,116.2296,40.217,5,53.0,3.0,21.0,32.0,0.6,59.0,train
130,116.3966,39.9821,5,80.0,3.0,56.0,11.0,0.8,95.0,train
132,115.9718,40.4529,5,26.0,3.0,11.0,30.0,0.3,20.0,train
133,117.0709,40.1465,5,38.0,3.0,18.0,5.0,0.6,28.0,train
134,116.8336,40.4095,5,78.0,2.0,31.0,11.0,0.6,51.0,train
135,116.088,39.9726,5,61.0,3.0,36.0,8.0,0.4,37.0,train
137,116.6804,39.9081,5,49.0,2.0,49.0,1.0,0.9,43.0,train
138,115.9577,39.7603,5,84.0,3.0,23.0,18.0,0.6,69.0,train
139,116.4672,39.7733,5,76.0,3.0,43.0,2.0,0.8,59.0,train
140,115.986,40.4563,5,26.0,2.0,11.0,33.0,0.4,15.0,train
141,116.6151,40.3053,5,73.0,2.0,46.0,2.0,0.9,52.0,train
143,116.84,40.3844,5,75.0,10.0,40.0,8.0,0.8,56.0,train
145,116.2202,40.2915,6,59.0,1.0,17.0,23.0,0.5,57.0,train
146,116.4174,39.9289,6,71.0,1.0,50.0,1.0,0.8,66.0,test
151,116.6636,40.135,6,30.0,3.0,25.0,24.0,0.9,33.0,train
152,116.6275,40.3275,6,71.0,2.0,43.0,4.0,0.8,46.0,train
153,116.2296,40.217,6,64.0,3.0,40.0,10.0,0.7,59.0,train
154,116.3966,39.9821,6,83.0,1.0,58.0,9.0,0.8,93.0,test
156,115.9718,40.4529,6,39.0,3.0,35.0,1.0,0.4,28.0,train
157,117.0709,40.1465,6,29.0,3.0,24.0,5.0,0.6,29.0,train
158,116.8336,40.4095,6,49.0,2.0,22.0,15.0,0.5,35.0,train
159,116.088,39.9726,6,53.0,3.0,35.0,9.0,0.4,33.0,test
161,116.6804,39.9081,6,42.0,2.0,46.0,3.0,0.9,39.0,train
162,115.9577,39.7603,6,60.0,3.0,23.0,19.0,0.5,54.0,train
163,116.4672,39.7733,6,51.0,3.0,49.0,2.0,0.9,42.0,test
164,115.986,40.4563,6,24.0,2.0,12.0,28.0,0.4,15.0,train
165,116.6151,40.3053,6,72.0,2.0,43.0,1.0,1.0,47.0,train
167,116.84,40.3844,6,64.0,8.0,34.0,10.0,0.6,44.0,train
169,116.2202,40.2915,7,60.0,1.0,20.0,17.0,0.5,59.0,train
170,116.4174,39.9289,7,56.0,1.0,50.0,1.0,0.8,50.0,train
175,116.6636,40.135,7,66.0,2.0,40.0,8.0,0.9,44.0,train
176,116.6275,40.3275,7,66.0,3.0,46.0,4.0,0.9,45.0,train
177,116.2296,40.217,7,93.0,1.0,56.0,3.0,0.8,74.0,train
178,116.3966,39.9821,7,62.0,1.0,55.0,10.0,0.8,73.0,train
180,115.9718,40.4529,7,38.0,3.0,35.0,1.0,0.4,23.0,train
181,117.0709,40.1465,7,46.0,3.0,25.0,1.0,0.6,32.0,train
182,116.8336,40.4095,7,14.0,1.0,13.0,25.0,0.3,13.0,train
183,116.088,39.9726,7,60.0,3.0,35.0,9.0,0.5,32.0,train
185,116.6804,39.9081,7,46.0,2.0,43.0,5.0,0.8,36.0,test
186,115.9577,39.7603,7,33.0,1.0,30.0,16.0,0.6,58.0,test
187,116.4672,39.7733,7,31.0,3.0,47.0,8.0,0.9,34.0,train
188,115.986,40.4563,7,26.0,2.0,24.0,8.0,0.4,16.0,test
189,116.6151,40.3053,7,61.0,3.0,43.0,2.0,1.0,44.0,train
191,116.84,40.3844,7,23.0,7.0,24.0,15.0,0.4,16.0,train
192,116.3621,39.8784,8,38.0,4.0,57.0,4.0,1.0,41.0,test
193,116.2202,40.2915,8,65.0,1.0,20.0,20.0,0.5,56.0,test
194,116.4174,39.9289,8,52.0,1.0,49.0,5.0,0.8,39.0,train
195,116.4072,39.8863,8,57.0,2.0,50.0,1.0,1.0,47.0,test
196,116.462,39.9365,8,46.0,1.0,32.0,6.0,0.8,36.0,train
197,116.3392,39.9295,8,63.0,6.0,46.0,1.0,1.1,56.0,train
199,116.6636,40.135,8,81.0,2.0,45.0,2.0,0.8,50.0,train
200,116.6275,40.3275,8,68.0,6.0,44.0,8.0,1.0,44.0,test
201,116.2296,40.217,8,81.0,1.0,56.0,5.0,0.9,62.0,test
202,116.3966,39.9821,8,45.0,1.0,52.0,13.0,0.8,53.0,train
204,115.9718,40.4529,8,51.0,3.0,29.0,4.0,0.4,21.0,train
205,117.0709,40.1465,8,55.0,1.0,27.0,1.0,0.7,36.0,test
206,116.8336,40.4095,8,15.0,1.0,11.0,29.0,0.3,9.0,train
207,116.088,39.9726,8,63.0,3.0,33.0,9.0,0.4,33.0,train
208,116.1541,39.8204,8,50.0,3.0,49.0,3.0,1.0,56.0,test
209,116.6804,39.9081,8,59.0,3.0,41.0,7.0,0.9,37.0,train
210,115.9577,39.7603,8,90.0,1.0,50.0,4.0,0.7,68.0,test
211,116.4672,39.7733,8,42.0,3.0,38.0,13.0,1.1,33.0,train
212,115.986,40.4563,8,41.0,3.0,32.0,4.0,0.5,17.0,test
213,116.6151,40.3053,8,67.0,6.0,42.0,5.0,1.1,42.0,test
215,116.84,40.3844,8,14.0,6.0,17.0,25.0,0.3,9.0,train
216,116.3621,39.8784,9,40.0,5.0,54.0,10.0,1.1,38.0,train
217,116.2202,40.2915,9,46.0,1.0,22.0,24.0,0.5,37.0,train
218,116.4174,39.9289,9,43.0,2.0,47.0,11.0,0.9,31.0,train
219,116.4072,39.8863,9,49.0,3.0,56.0,3.0,1.1,38.0,train
220,116.462,39.9365,9,44.0,2.0,29.0,15.0,1.1,33.0,train
221,116.3392,39.9295,9,46.0,6.0,41.0,8.0,1.0,42.0,train
222,116.2878,39.9611,9,42.0,2.0,37.0,14.0,0.7,43.0,train
223,116.6636,40.135,9,53.0,2.0,39.0,10.0,0.9,40.0,train
224,116.6275,40.3275,9,63.0,10.0,39.0,12.0,1.1,43.0,train
225,116.2296,40.217,9,67.0,2.0,50.0,9.0,1.0,49.0,train
226,116.3966,39.9821,9,50.0,1.0,52.0,15.0,0.9,45.0,train
228,115.9718,40.4529,9,63.0,3.0,30.0,10.0,0.4,23.0,train
229,117.0709,40.1465,9,71.0,1.0,28.0,2.0,0.8,39.0,train
230,116.8336,40.4095,9,25.0,1.0,9.0,32.0,0.3,8.0,train
231,116.088,39.9726,9,57.0,3.0,30.0,11.0,0.4,30.0,train
232,116.1541,39.8204,9,45.0,3.0,45.0,8.0,1.0,41.0,test
233,116.6804,39.9081,9,56.0,4.0,36.0,15.0,0.9,34.0,train
234,115.9577,39.7603,9,106.0,1.0,54.0,2.0,0.8,76.0,train
235,116.4672,39.7733,9,42.0,1.0,37.0,15.0,1.4,30.0,train
236,115.986,40.4563,9,47.0,3.0,32.0,12.0,0.5,21.0,train
237,116.6151,40.3053,9,69.0,7.0,40.0,6.0,1.0,41.0,train
238,116.2545,39.8768,9,76.0,1.0,52.0,1.0,1.1,62.0,test
239,116.84,40.3844,9,26.0,5.0,13.0,30.0,0.3,8.0,test
240,116.3621,39.8784,10,45.0,6.0,50.0,14.0,1.1,36.0,train
241,116.2202,40.2915,10,76.0,2.0,39.0,16.0,0.6,45.0,test
242,116.4174,39.9289,10,45.0,2.0,47.0,11.0,0.9,32.0,train
243,116.4072,39.8863,10,52.0,4.0,61.0,6.0,1.3,36.0,train
244,116.462,39.9365,10,45.0,3.0,28.0,17.0,1.1,34.0,test
245,116.3392,39.9295,10,42.0,5.0,35.0,17.0,0.9,37.0,test
246,116.2878,39.9611,10,42.0,1.0,46.0,7.0,0.8,44.0,train
247,116.6636,40.135,10,34.0,9.0,34.0,18.0,0.8,40.0,train
248,116.6275,40.3275,10,59.0,8.0,31.0,22.0,0.9,38.0,train
249,116.2296,40.217,10,64.0,2.0,46.0,13.0,1.0,45.0,train
250,116.3966,39.9821,10,39.0,1.0,48.0,22.0,0.8,38.0,train
251,116.184,39.9136,10,61.0,1.0,51.0,3.0,0.9,51.0,train
252,115.9718,40.4529,10,61.0,3.0,30.0,15.0,0.4,24.0,test
253,117.0709,40.1465,10,58.0,1.0,32.0,5.0,0.8,42.0,train
254,116.8336,40.4095,10,18.0,3.0,7.0,36.0,0.2,7.0,train
255,116.088,39.9726,10,60.0,3.0,31.0,12.0,0.4,34.0,train
256,116.1541,39.8204,10,40.0,3.0,39.0,18.0,0.8,35.0,train
257,116.6804,39.9081,10,52.0,5.0,39.0,16.0,0.9,34.0,test
258,115.9577,39.7603,10,109.0,1.0,54.0,3.0,0.9,82.0,test
259,116.4672,39.7733,10,55.0,3.0,39.0,16.0,1.3,32.0,train
260,115.986,40.4563,10,38.0,3.0,24.0,26.0,0.4,19.0,train
261,116.6151,40.3053,10,46.0,6.0,22.0,27.0,0.8,34.0,test
262,116.2545,39.8768,10,59.0,1.0,51.0,2.0,1.0,46.0,train
263,116.84,40.3844,10,24.0,5.0,11.0,34.0,0.3,10.0,train
264,116.3621,39.8784,11,49.0,5.0,53.0,14.0,1.1,38.0,train
265,116.2202,40.2915,11,66.0,3.0,42.0,18.0,0.8,50.0,test
266,116.4174,39.9289,11,54.0,2.0,45.0,13.0,0.9,35.0,train
267,116.4072,39.8863,11,53.0,5.0,56.0,12.0,1.3,37.0,test
268,116.462,39.9365,11,48.0,2.0,28.0,19.0,1.0,34.0,test
269,116.3392,39.9295,11,47.0,5.0,41.0,9.0,1.0,42.0,train
270,116.2878,39.9611,11,60.0,1.0,49.0,4.0,0.9,48.0,test
271,116.6636,40.135,11,43.0,8.0,31.0,23.0,0.8,39.0,train
272,116.6275,40.3275,11,41.0,5.0,21.0,34.0,0.7,29.0,train
273,116.2296,40.217,11,63.0,3.0,43.0,17.0,0.9,43.0,train
274,116.3966,39.9821,11,43.0,1.0,46.0,26.0,0.9,39.0,train
275,116.184,39.9136,11,38.0,1.0,43.0,14.0,0.8,37.0,test
276,115.9718,40.4529,11,49.0,3.0,25.0,23.0,0.4,27.0,train
277,117.0709,40.1465,11,52.0,3.0,42.0,9.0,1.1,44.0,train
278,116.8336,40.4095,11,24.0,2.0,10.0,39.0,0.4,17.0,train
279,116.088,39.9726,11,61.0,1.0,34.0,10.0,0.4,38.0,test
280,116.1541,39.8204,11,49.0,1.0,42.0,18.0,0.9,37.0,train
281,116.6804,39.9081,11,52.0,6.0,40.0,19.0,0.9,36.0,test
282,115.9577,39.7603,11,92.0,2.0,50.0,8.0,0.9,76.0,train
283,116.4672,39.7733,11,68.0,3.0,38.0,17.0,1.2,35.0,train
284,115.986,40.4563,11,42.0,3.0,24.0,30.0,0.4,21.0,train
285,116.6151,40.3053,11,37.0,5.0,23.0,29.0,0.7,32.0,train
286,116.2545,39.8768,11,77.0,1.0,46.0,5.0,0.9,42.0,train
287,116.84,40.3844,11,31.0,5.0,12.0,37.0,0.3,13.0,train
288,116.3621,39.8784,12,52.0,4.0,45.0,18.0,0.8,42.0,test
289,116.2202,40.2915,12,81.0,3.0,38.0,24.0,0.8,56.0,test
290,116.4174,39.9289,12,47.0,2.0,41.0,19.0,0.9,37.0,train
291,116.4072,39.8863,12,51.0,5.0,49.0,17.0,1.2,37.0,train
292,116.462,39.9365,12,48.0,3.0,28.0,19.0,1.1,36.0,train
293,116.3392,39.9295,12,46.0,6.0,39.0,15.0,0.9,46.0,train
294,116.2878,39.9611,12,54.0,2.0,48.0,10.0,0.9,48.0,test
295,116.6636,40.135,12,31.0,5.0,27.0,31.0,0.7,35.0,train
296,116.6275,40.3275,12,39.0,5.0,23.0,33.0,0.7,29.0,train
297,116.2296,40.217,12,78.0,3.0,46.0,17.0,1.0,49.0,train
298,116.3966,39.9821,12,40.0,1.0,39.0,34.0,0.8,41.0,train
299,116.184,39.9136,12,45.0,1.0,41.0,17.0,0.8,39.0,train
300,115.9718,40.4529,12,57.0,3.0,20.0,34.0,0.4,36.0,train
301,117.0709,40.1465,12,63.0,4.0,44.0,11.0,1.1,44.0,train
302,116.8336,40.4095,12,24.0,2.0,10.0,42.0,0.4,16.0,train
303,116.088,39.9726,12,71.0,1.0,34.0,17.0,0.6,49.0,train
304,116.1541,39.8204,12,56.0,2.0,39.0,23.0,0.9,40.0,train
305,116.6804,39.9081,12,56.0,5.0,39.0,18.0,0.9,37.0,train
306,115.9577,39.7603,12,86.0,2.0,51.0,9.0,0.9,72.0,test
307,116.4672,39.7733,12,47.0,3.0,38.0,20.0,1.0,37.0,test
308,115.986,40.4563,12,46.0,3.0,13.0,48.0,0.4,34.0,train
309,116.6151,40.3053,12,40.0,5.0,22.0,30.0,0.7,30.0,train
310,116.2545,39.8768,12,48.0,2.0,42.0,16.0,0.9,40.0,test
311,116.84,40.3844,12,42.0,7.0,19.0,35.0,0.5,26.0,train
312,116.3621,39.8784,13,19.0,4.0,39.0,28.0,0.7,44.0,train
313,116.2202,40.2915,13,92.0,4.0,43.0,22.0,0.9,65.0,train
314,116.4174,39.9289,13,61.0,3.0,43.0,20.0,1.0,42.0,train
315,116.4072,39.8863,13,46.0,5.0,44.0,25.0,1.0,39.0,train
316,116.462,39.9365,13,49.0,3.0,27.0,23.0,1.0,37.0,train
317,116.3392,39.9295,13,54.0,6.0,34.0,24.0,0.9,52.0,train
318,116.2878,39.9611,13,61.0,3.0,47.0,14.0,0.9,52.0,train
319,116.6636,40.135,13,60.0,3.0,29.0,26.0,0.7,37.0,train
320,116.6275,40.3275,13,51.0,4.0,23.0,36.0,0.7,33.0,test
321,116.2296,40.217,13,75.0,2.0,47.0,18.0,1.0,50.0,train
322,116.3966,39.9821,13,46.0,2.0,37.0,40.0,0.9,45.0,train
323,116.184,39.9136,13,48.0,2.0,36.0,24.0,0.8,44.0,train
324,115.9718,40.4529,13,48.0,3.0,7.0,58.0,0.4,51.0,train
325,117.0709,40.1465,13,60.0,5.0,37.0,21.0,1.0,44.0,train
326,116.8336,40.4095,13,55.0,3.0,18.0,37.0,0.6,31.0,train
327,116.088,39.9726,13,90.0,2.0,34.0,27.0,0.9,66.0,train
328,116.1541,39.8204,13,62.0,2.0,36.0,28.0,0.8,46.0,test
329,116.6804,39.9081,13,55.0,4.0,34.0,24.0,0.8,38.0,test
330,115.9577,39.7603,13,95.0,2.0,53.0,12.0,0.9,82.0,train
331,116.4672,39.7733,13,53.0,3.0,36.0,24.0,0.9,39.0,test
332,115.986,40.4563,13,55.0,3.0,11.0,60.0,0.5,48.0,train
333,116.6151,40.3053,13,42.0,4.0,23.0,32.0,0.7,32.0,train
334,116.2545,39.8768,13,51.0,2.0,31.0,32.0,0.9,46.0,train
335,116.84,40.3844,13,50.0,8.0,21.0,36.0,0.6,31.0,train
337,116.2202,40.2915,14,104.0,3.0,46.0,23.0,0.9,66.0,train
338,116.4174,39.9289,14,70.0,3.0,41.0,26.0,0.9,48.0,train
339,116.4072,39.8863,14,60.0,5.0,51.0,22.0,1.1,46.0,train
340,116.462,39.9365,14,61.0,3.0,30.0,22.0,1.0,43.0,test
341,116.3392,39.9295,14,60.0,6.0,31.0,31.0,0.9,55.0,test
342,116.2878,39.9611,14,67.0,3.0,45.0,20.0,0.8,54.0,train
343,116.6636,40.135,14,33.0,4.0,26.0,32.0,0.8,39.0,train
344,116.6275,40.3275,14,73.0,4.0,28.0,32.0,0.8,44.0,train
345,116.2296,40.217,14,81.0,2.0,49.0,18.0,1.0,53.0,train
346,116.3966,39.9821,14,55.0,2.0,46.0,34.0,1.0,47.0,train
347,116.184,39.9136,14,65.0,1.0,36.0,29.0,0.8,54.0,train
348,115.9718,40.4529,14,67.0,3.0,15.0,58.0,0.5,63.0,train
349,117.0709,40.1465,14,46.0,4.0,31.0,28.0,0.9,40.0,test
350,116.8336,40.4095,14,51.0,3.0,14.0,46.0,0.5,32.0,train
351,116.088,39.9726,14,92.0,2.0,37.0,25.0,0.9,69.0,test
352,116.1541,39.8204,14,75.0,1.0,44.0,23.0,0.9,66.0,test
353,116.6804,39.9081,14,61.0,5.0,36.0,30.0,0.8,40.0,train
354,115.9577,39.7603,14,84.0,1.0,52.0,18.0,0.9,86.0,train
355,116.4672,39.7733,14,65.0,3.0,35.0,28.0,0.9,46.0,train
356,115.986,40.4563,14,72.0,3.0,20.0,60.0,0.6,61.0,train
357,116.6151,40.3053,14,71.0,4.0,26.0,30.0,0.7,39.0,train
358,116.2545,39.8768,14,62.0,2.0,36.0,30.0,0.9,57.0,train
359,116.84,40.3844,14,44.0,8.0,16.0,44.0,0.5,32.0,test
360,116.3621,39.8784,15,44.0,4.0,43.0,31.0,0.7,59.0,train
361,116.2202,40.2915,15,109.0,3.0,50.0,19.0,0.9,63.0,train
362,116.4174,39.9289,15,65.0,3.0,40.0,28.0,0.8,50.0,train
363,116.4072,39.8863,15,63.0,5.0,44.0,30.0,1.0,52.0,train
364,116.462,39.9365,15,70.0,3.0,29.0,29.0,0.9,50.0,train
365,116.3392,39.9295,15,60.0,6.0,35.0,29.0,0.9,57.0,train
366,116.2878,39.9611,15,64.0,2.0,45.0,22.0,0.8,56.0,test
367,116.6636,40.135,15,48.0,3.0,33.0,29.0,0.8,45.0,train
368,116.6275,40.3275,15,113.0,2.0,34.0,27.0,0.8,52.0,train
369,116.2296,40.217,15,80.0,2.0,50.0,20.0,1.0,55.0,train
370,116.3966,39.9821,15,64.0,1.0,44.0,39.0,0.9,54.0,test
371,116.184,39.9136,15,83.0,1.0,46.0,20.0,0.9,67.0,train
372,115.9718,40.4529,15,85.0,3.0,22.0,56.0,0.6,63.0,train
373,117.0709,40.1465,15,42.0,4.0,22.0,40.0,0.7,37.0,train
374,116.8336,40.4095,15,56.0,3.0,17.0,44.0,0.6,37.0,train
375,116.088,39.9726,15,73.0,2.0,37.0,29.0,0.8,62.0,test
376,116.1541,39.8204,15,90.0,1.0,45.0,26.0,0.9,71.0,train
377,116.6804,39.9081,15,73.0,5.0,44.0,30.0,0.9,45.0,train
378,115.9577,39.7603,15,87.0,1.0,37.0,40.0,0.8,83.0,train
379,116.4672,39.7733,15,68.0,3.0,29.0,39.0,0.8,53.0,train
380,115.986,40.4563,15,81.0,3.0,27.0,55.0,0.7,64.0,train
381,116.6151,40.3053,15,121.0,3.0,34.0,24.0,0.8,51.0,train
382,116.2545,39.8768,15,85.0,2.0,39.0,28.0,0.9,68.0,test
383,116.84,40.3844,15,49.0,7.0,16.0,43.0,0.5,36.0,train
384,116.3621,39.8784,16,58.0,3.0,43.0,32.0,0.7,64.0,train
385,116.2202,40.2915,16,81.0,3.0,53.0,18.0,0.9,61.0,test
386,116.4174,39.9289,16,71.0,2.0,38.0,32.0,0.8,57.0,train
387,116.4072,39.8863,16,65.0,4.0,39.0,36.0,0.9,57.0,train
388,116.462,39.9365,16,70.0,2.0,30.0,30.0,0.9,55.0,train
389,116.3392,39.9295,16,68.0,5.0,37.0,29.0,0.8,61.0,train
390,116.2878,39.9611,16,72.0,2.0,47.0,21.0,0.8,62.0,test
391,116.6636,40.135,16,68.0,3.0,38.0,25.0,0.9,49.0,test
392,116.6275,40.3275,16,102.0,2.0,43.0,21.0,0.8,52.0,train
393,116.2296,40.217,16,84.0,2.0,55.0,17.0,1.1,57.0,train
394,116.3966,39.9821,16,67.0,1.0,45.0,38.0,0.8,58.0,train
395,116.184,39.9136,16,82.0,1.0,52.0,17.0,0.9,72.0,test
396,115.9718,40.4529,16,95.0,3.0,29.0,48.0,0.7,70.0,train
397,117.0709,40.1465,16,46.0,4.0,22.0,42.0,0.7,39.0,test
398,116.8336,40.4095,16,75.0,2.0,19.0,45.0,0.6,46.0,train
399,116.088,39.9726,16,73.0,2.0,40.0,27.0,0.9,66.0,train
400,116.1541,39.8204,16,77.0,3.0,39.0,33.0,0.9,66.0,train
401,116.6804,39.9081,16,69.0,4.0,43.0,31.0,0.8,49.0,train
402,115.9577,39.7603,16,73.0,3.0,34.0,50.0,0.7,76.0,train
403,116.4672,39.7733,16,75.0,2.0,32.0,41.0,0.9,60.0,train
404,115.986,40.4563,16,99.0,3.0,35.0,44.0,0.8,71.0,train
405,116.6151,40.3053,16,114.0,2.0,41.0,18.0,0.8,54.0,train
406,116.2545,39.8768,16,81.0,1.0,41.0,28.0,0.9,65.0,train
407,116.84,40.3844,16,78.0,6.0,21.0,46.0,0.6,53.0,test
408,116.3621,39.8784,17,65.0,2.0,47.0,25.0,0.7,68.0,train
409,116.2202,40.2915,17,85.0,3.0,59.0,14.0,0.9,62.0,train
410,116.4174,39.9289,17,69.0,1.0,37.0,34.0,0.7,59.0,train
411,116.4072,39.8863,17,68.0,3.0,41.0,30.0,0.9,61.0,train
412,116.462,39.9365,17,74.0,2.0,30.0,29.0,0.8,59.0,train
413,116.3392,39.9295,17,72.0,5.0,39.0,28.0,0.9,63.0,train
414,116.2878,39.9611,17,77.0,2.0,49.0,19.0,0.8,66.0,train
