x,y,t,PM10,SO2,NO2,O3,CO,PM25,stationID
116.2296,40.217,5,53.0,3.0,21.0,32.0,0.6,59.0,1010A
116.3966,39.9821,5,80.0,3.0,56.0,11.0,0.8,95.0,1011A
115.9718,40.4529,5,26.0,3.0,11.0,30.0,0.3,20.0,3281A
117.0709,40.1465,5,38.0,3.0,18.0,5.0,0.6,28.0,3417A
116.8336,40.4095,5,78.0,2.0,31.0,11.0,0.6,51.0,3418A
116.088,39.9726,5,61.0,3.0,36.0,8.0,0.4,37.0,3671A
116.6804,39.9081,5,49.0,2.0,49.0,1.0,0.9,43.0,3673A
115.9577,39.7603,5,84.0,3.0,23.0,18.0,0.6,69.0,3674A
116.4672,39.7733,5,76.0,3.0,43.0,2.0,0.8,59.0,3675A
115.986,40.4563,5,26.0,2.0,11.0,33.0,0.4,15.0,3694A
116.6151,40.3053,5,73.0,2.0,46.0,2.0,0.9,52.0,3695A
116.84,40.3844,5,75.0,10.0,40.0,8.0,0.8,56.0,3697A
116.2202,40.2915,6,59.0,1.0,17.0,23.0,0.5,57.0,1002A
116.4174,39.9289,6,71.0,1.0,50.0,1.0,0.8,66.0,1003A
116.6636,40.135,6,30.0,3.0,25.0,24.0,0.9,33.0,1008A
116.6275,40.3275,6,71.0,2.0,43.0,4.0,0.8,46.0,1009A
116.2296,40.217,6,64.0,3.0,40.0,10.0,0.7,59.0,1010A
116.3966,39.9821,6,83.0,1.0,58.0,9.0,0.8,93.0,1011A
115.9718,40.4529,6,39.0,3.0,35.0,1.0,0.4,28.0,3281A
117.0709,40.1465,6,29.0,3.0,24.0,5.0,0.6,29.0,3417A
116.8336,40.4095,6,49.0,2.0,22.0,15.0,0.5,35.0,3418A
116.088,39.9726,6,53.0,3.0,35.0,9.0,0.4,33.0,3671A
116.6804,39.9081,6,42.0,2.0,46.0,3.0,0.9,39.0,3673A
115.9577,39.7603,6,60.0,3.0,23.0,19.0,0.5,54.0,3674A
116.4672,39.7733,6,51.0,3.0,49.0,2.0,0.9,42.0,3675A
115.986,40.4563,6,24.0,2.0,12.0,28.0,0.4,15.0,3694A
116.6151,40.3053,6,72.0,2.0,43.0,1.0,1.0,47.0,3695A
116.84,40.3844,6,64.0,8.0,34.0,10.0,0.6,44.0,3697A
116.2202,40.2915,7,60.0,1.0,20.0,17.0,0.5,59.0,1002A
116.4174,39.9289,7,56.0,1.0,50.0,1.0,0.8,50.0,1003A
116.6636,40.135,7,66.0,2.0,40.0,8.0,0.9,44.0,1008A
116.6275,40.3275,7,66.0,3.0,46.0,4.0,0.9,45.0,1009A
